corpus,max_k,lexical_def,b3,se,ci_lo,ci_hi,p,n_obs,G
NL1_shakespeare,7,Definition_A_alpha_digit_space,0.8098702724688128,0.21496581435871095,0.37888976359255455,1.240850781345071,0.0004095924553299347,326,55
NL1_shakespeare,7,Definition_B_alpha_only,0.788899496974548,0.2149290159066478,0.35780648404217863,1.2199925099069173,0.0005631926143929597,320,54
