corpus,split,offset,b3,se,ci_lo,ci_hi,p,n_obs,G
NL1_shakespeare,1,0,0.738503523642326,0.22569123496712698,0.28601984113114903,1.190987206153503,0.0018635430186442045,354,55
NL1_shakespeare,2,111539,0.6629539068462719,0.22424905918389162,0.21372906032577388,1.11217875336677,0.0045500438071146435,356,57
NL1_shakespeare,3,223078,0.404741440930818,0.2648760544925616,-0.12630307465828972,0.9357859565199257,0.13233926528152598,290,55
NL1_shakespeare,4,334618,0.6275084965966587,0.19307965329865873,0.24087315997421171,1.0141438332191057,0.0019387165035733398,390,58
NL1_shakespeare,5,446157,0.6345489237174232,0.17849524383978774,0.27697998313688066,0.9921178642979658,0.0007767004124074046,368,57
NL2_pride_prej,1,0,1.0945696654470718,0.34789525215437583,0.3938726591073869,1.7952666717867567,0.0029305212257405215,319,46
NL2_pride_prej,2,72884,1.0928832083141935,0.32778187341196885,0.433092517917676,1.7526738987107109,0.001697127141145772,323,47
NL2_pride_prej,3,145769,0.7758314172281355,0.3907480303791729,-0.006930948037028761,1.5585937824932998,0.05199342318051138,368,57
NL2_pride_prej,4,218653,1.2435490139312688,0.36077416035623483,0.5177650192357922,1.9693330086267453,0.0012051008714558684,333,48
NL2_pride_prej,5,291538,0.7762976613590813,0.37651148859402145,0.016989879391862472,1.5356054433263,0.04530206541515501,307,44
