CG,log2k,Structural,log2k_x_S,logFreq,char_id
0.5304817390451866,1.0,0,0.0,-2.4182085655819026, 
0.5106328165406462,1.584962500721156,0,0.0,-2.4182085655819026, 
0.20205418196580816,2.0,0,0.0,-2.4182085655819026, 
-0.29218370748076516,2.321928094887362,0,0.0,-2.4182085655819026, 
-0.8491527266892152,2.584962500721156,0,0.0,-2.4182085655819026, 
-1.402694883966753,2.807354922057604,0,0.0,-2.4182085655819026, 
-1.949775379007629,3.0,0,0.0,-2.4182085655819026, 
1.4083709088581617,1.0,1,1.0,-9.612102190019469,!
1.5809511463530903,1.584962500721156,1,1.584962500721156,-9.612102190019469,!
1.7272341756821419,2.0,1,2.0,-9.612102190019469,!
1.63153310488633,2.321928094887362,1,2.321928094887362,-9.612102190019469,!
1.5567570110601183,2.584962500721156,1,2.584962500721156,-9.612102190019469,!
1.4908738941546513,2.807354922057604,1,2.807354922057604,-9.612102190019469,!
1.471018062794462,3.0,1,3.0,-9.612102190019469,!
1.5610678771016566,1.0,1,1.0,-11.138664797515471,#
2.74483381320235,1.584962500721156,1,1.584962500721156,-11.138664797515471,#
3.3375132280290187,2.0,1,2.0,-11.138664797515471,#
3.3664688006456336,2.321928094887362,1,2.321928094887362,-11.138664797515471,#
3.332335263708359,2.584962500721156,1,2.584962500721156,-11.138664797515471,#
2.413384168083577,2.807354922057604,1,2.807354922057604,-11.138664797515471,#
2.244962755247334,3.0,1,3.0,-11.138664797515471,#
1.9235698567741668,1.0,1,1.0,-9.679233178878173,&
1.2223563850827905,1.584962500721156,1,1.584962500721156,-9.679233178878173,&
0.3829602507338876,2.0,1,2.0,-9.679233178878173,&
-0.11581909084025277,2.321928094887362,1,2.321928094887362,-9.679233178878173,&
-0.25904183406971537,2.584962500721156,1,2.584962500721156,-9.679233178878173,&
-0.3936037238053922,2.807354922057604,1,2.807354922057604,-9.679233178878173,&
-0.4567535931132065,3.0,1,3.0,-9.679233178878173,&
1.581779651708108,1.0,1,1.0,-6.295792169889458,(
2.4176384524872585,1.584962500721156,1,1.584962500721156,-6.295792169889458,(
2.4968560472381784,2.0,1,2.0,-6.295792169889458,(
2.445013421831318,2.321928094887362,1,2.321928094887362,-6.295792169889458,(
2.408444368322711,2.584962500721156,1,2.584962500721156,-6.295792169889458,(
2.2650849001934326,2.807354922057604,1,2.807354922057604,-6.295792169889458,(
2.0925465285092097,3.0,1,3.0,-6.295792169889458,(
0.526803851937415,1.0,1,1.0,-6.295438186415091,)
0.5106377187723803,1.584962500721156,1,1.584962500721156,-6.295438186415091,)
0.2479054577682449,2.0,1,2.0,-6.295438186415091,)
-0.11291344767193578,2.321928094887362,1,2.321928094887362,-6.295438186415091,)
-0.38496732229315533,2.584962500721156,1,2.584962500721156,-6.295438186415091,)
-0.6777144848036603,2.807354922057604,1,2.807354922057604,-6.295438186415091,)
-0.9107116620038855,3.0,1,3.0,-6.295438186415091,)
