corpus,lexical_def,n_structural,n_lexical,b3,se,ci_lo,ci_hi,p,n_obs,G
NL1_shakespeare,canonical,7,48,0.738503523642326,0.22569123496712698,0.28601984113114903,1.190987206153503,0.0018635430186442045,354,55
NL1_shakespeare,alpha_only,7,47,0.7104608930373955,0.22477527147497847,0.2596187924299706,1.1613029936448203,0.0026013451116326243,347,54
NL2_pride_prej,canonical,5,41,1.0945764052613414,0.34789552279579006,0.39387885382186694,1.7952739567008158,0.0029303825592821194,319,46
NL2_pride_prej,alpha_only,5,40,1.069242509142346,0.3478302246244078,0.3682367530228239,1.7702482652618683,0.0036202211188279985,312,45
