char,char_raw,type,S_x1,S_x1_lo,S_x1_hi,n_test,CG_peak,CG_lo,CG_hi,k_peak,sym_cov,LS
'Z',Z,lexical,8.7751,8.7353,8.8148,68,-0.9021,-1.1904,-0.6139,2,1.0,1.1028
'}',},structural,7.4833,7.3485,7.6181,230,-0.9045,-1.1794,-0.6295,2,1.0,1.1209
'|',|,structural,8.4347,8.4347,8.4347,45,-0.9133,-1.1193,-0.7073,2,1.0,1.1083
'-',-,structural,7.5772,7.5263,7.628,268,-0.9268,-1.128,-0.7256,2,0.996,1.1223
'F',F,lexical,8.3749,8.2445,8.5053,310,-0.9414,-1.2448,-0.638,2,1.0,1.1124
'/',/,structural,7.9941,7.8174,8.1707,103,-0.9443,-1.4679,-0.4207,2,1.0,1.1181
'+',+,structural,7.8937,7.8351,7.9522,167,-1.0049,-1.2427,-0.7671,2,1.0,1.1273
'%',%,structural,6.8311,6.8043,6.858,109,-1.0508,-1.249,-0.8526,2,1.0,1.1538
'*',*,structural,9.0829,9.0474,9.1183,322,-1.0823,-1.2376,-0.927,2,0.994,1.1192
'&',&,structural,9.902,9.902,9.902,41,-1.4915,-1.7259,-1.2571,2,1.0,1.1506
'>',>,structural,6.7496,6.491,7.0083,113,-1.9069,-2.368,-1.4458,2,1.0,1.2825
'z',z,lexical,10.4624,10.4026,10.5221,298,-2.616,-2.8409,-2.3911,2,1.0,1.25
