char,char_raw,type,S_x1,S_x1_lo,S_x1_hi,n_test,CG_peak,CG_lo,CG_hi,k_peak,sym_cov,LS,corpus
'P',P,lexical,6.0825,5.9968,6.1683,441,0.042,-0.1536,0.2376,2,1.0,0.9931,shakespeare
't',t,lexical,6.6249,6.6107,6.6391,6625,0.0035,-0.0399,0.0469,2,0.988,0.9995,shakespeare
'Z',Z,lexical,6.1849,6.1849,6.1849,37,0.0,-0.0,0.0,2,1.0,1.0,shakespeare
'C',C,lexical,6.8974,6.8274,6.9673,340,-0.0306,-0.2549,0.1937,2,1.0,1.0044,shakespeare
'U',U,lexical,5.7601,5.706,5.8142,256,-0.1454,-0.3026,0.0119,2,1.0,1.0252,shakespeare
':',:,structural,4.5807,4.5108,4.6506,1272,-0.1527,-0.3322,0.0268,2,0.999,1.0333,shakespeare
'E',E,lexical,5.9313,5.8778,5.9849,474,-0.1984,-0.3102,-0.0866,2,0.867,1.0334,shakespeare
'd',d,lexical,7.0196,6.9957,7.0435,2896,-0.2076,-0.2657,-0.1495,2,1.0,1.0296,shakespeare
'O',O,lexical,5.483,5.4203,5.5457,920,-0.3023,-0.4482,-0.1564,2,0.989,1.0551,shakespeare
'R',R,lexical,5.7699,5.7065,5.8332,634,-0.3131,-0.4369,-0.1893,2,0.984,1.0543,shakespeare
'y',y,lexical,6.5393,6.5067,6.5718,2048,-0.3345,-0.425,-0.2439,2,1.0,1.0511,shakespeare
'h',h,lexical,6.4139,6.3939,6.4339,4920,-0.3369,-0.3839,-0.2899,2,1.0,1.0525,shakespeare
'N',N,lexical,5.3231,5.2696,5.3766,696,-0.3664,-0.5616,-0.1712,2,1.0,1.0688,shakespeare
'r',r,lexical,7.1649,7.1459,7.1839,4618,-0.3985,-0.4616,-0.3353,2,1.0,1.0556,shakespeare
'v',v,lexical,6.3292,6.2544,6.4039,695,-0.4318,-0.6145,-0.2491,2,1.0,1.0682,shakespeare
'l',l,lexical,6.8485,6.8234,6.8736,3100,-0.4388,-0.5107,-0.367,2,1.0,1.0641,shakespeare
'k',k,lexical,6.5877,6.4945,6.6809,694,-0.484,-0.693,-0.2749,2,1.0,1.0735,shakespeare
'z',z,lexical,5.5286,5.2453,5.8119,36,-0.4923,-1.0973,0.1127,2,1.0,1.0891,shakespeare
'G',G,lexical,6.8411,6.8062,6.8761,210,-0.4959,-0.6439,-0.348,2,1.0,1.0725,shakespeare
'n',n,lexical,6.9938,6.9612,7.0264,4712,-0.503,-0.5732,-0.4327,2,1.0,1.0719,shakespeare
'S',S,lexical,6.6748,6.5168,6.8328,475,-0.5458,-0.9133,-0.1783,2,1.0,1.0818,shakespeare
's',s,lexical,6.6479,6.6304,6.6654,4876,-0.5503,-0.6017,-0.499,2,1.0,1.0828,shakespeare
'j',j,lexical,9.7438,9.3218,10.1658,40,-0.5931,-1.4633,0.2771,2,1.0,1.0609,shakespeare
'e',e,lexical,6.5383,6.5245,6.5522,9115,-0.6023,-0.6492,-0.5554,2,1.0,1.0921,shakespeare
"','",",",structural,6.5485,6.5109,6.5862,2140,-0.6268,-0.7277,-0.5258,2,1.0,1.0957,shakespeare
'w',w,lexical,5.9237,5.8971,5.9503,1829,-0.63,-0.713,-0.5471,2,1.0,1.1064,shakespeare
'c',c,lexical,7.1594,7.0957,7.2231,1481,-0.6388,-0.7804,-0.4972,2,0.997,1.0892,shakespeare
'm',m,lexical,6.554,6.5185,6.5896,2275,-0.6448,-0.7357,-0.5539,2,1.0,1.0984,shakespeare
'u',u,lexical,6.0719,6.0401,6.1036,2529,-0.6636,-0.7535,-0.5736,2,1.0,1.1093,shakespeare
'g',g,lexical,6.0369,5.9885,6.0852,1264,-0.6703,-0.7751,-0.5655,2,1.0,1.111,shakespeare
'T',T,lexical,5.4807,5.4126,5.5488,1044,-0.6872,-0.8899,-0.4846,2,0.931,1.1254,shakespeare
'a',a,lexical,6.7909,6.7699,6.8119,5789,-0.716,-0.7755,-0.6565,2,0.999,1.1054,shakespeare
'i',i,lexical,6.6796,6.6527,6.7065,4553,-0.7182,-0.7832,-0.6532,2,1.0,1.1075,shakespeare
'I',I,lexical,5.7494,5.6975,5.8014,1491,-0.7484,-0.8773,-0.6195,2,0.923,1.1302,shakespeare
'A',A,lexical,6.6625,6.5815,6.7435,1171,-0.789,-0.9865,-0.5915,2,0.927,1.1184,shakespeare
'o',o,lexical,6.3393,6.3209,6.3577,6277,-0.8552,-0.9015,-0.8088,2,1.0,1.1349,shakespeare
'p',p,lexical,7.1705,7.1318,7.2091,988,-0.862,-0.9536,-0.7704,2,1.0,1.1202,shakespeare
'q',q,lexical,5.3744,5.2081,5.5407,46,-0.8997,-1.2995,-0.4999,2,1.0,1.1674,shakespeare
'f',f,lexical,6.2397,6.2171,6.2623,1465,-0.9258,-0.9985,-0.8531,2,1.0,1.1484,shakespeare
'K',K,lexical,5.7076,5.5356,5.8797,167,-0.9356,-1.3534,-0.5178,2,1.0,1.1639,shakespeare
'L',L,lexical,7.0511,6.9455,7.1567,279,-0.9474,-1.2668,-0.6281,2,1.0,1.1344,shakespeare
'.',.,structural,6.3729,6.3081,6.4377,925,-0.9699,-1.1284,-0.8115,2,1.0,1.1522,shakespeare
'M',M,lexical,7.3086,7.1295,7.4878,225,-0.971,-1.449,-0.493,2,0.996,1.1329,shakespeare
'D',D,lexical,5.4278,5.267,5.5885,148,-0.9923,-1.3903,-0.5943,2,1.0,1.1828,shakespeare
'B',B,lexical,7.1528,7.0468,7.2588,343,-0.9946,-1.2556,-0.7335,2,1.0,1.139,shakespeare
'H',H,lexical,5.6701,5.6355,5.7047,417,-1.0295,-1.1402,-0.9187,2,1.0,1.1816,shakespeare
'F',F,lexical,7.0462,7.0025,7.0898,106,-1.0402,-1.2795,-0.801,2,1.0,1.1476,shakespeare
'!',!,structural,8.0328,7.8973,8.1684,258,-1.0547,-1.3379,-0.7716,2,1.0,1.1313,shakespeare
'x',x,lexical,6.8813,6.7865,6.9761,49,-1.1203,-1.483,-0.7576,2,1.0,1.1628,shakespeare
';',;,structural,7.4159,7.2887,7.5432,397,-1.1367,-1.4458,-0.8277,2,1.0,1.1533,shakespeare
'?',?,structural,7.1886,7.0861,7.291,290,-1.1603,-1.385,-0.9355,2,1.0,1.1614,shakespeare
'b',b,lexical,7.0139,6.9874,7.0404,1085,-1.1784,-1.2928,-1.0641,2,1.0,1.168,shakespeare
"""'""",',structural,6.1453,6.0807,6.2099,626,-1.2109,-1.3701,-1.0517,2,1.0,1.197,shakespeare
'V',V,lexical,5.924,5.8272,6.0208,52,-1.2562,-1.5265,-0.986,2,1.0,1.2121,shakespeare
'W',W,lexical,7.2366,7.2249,7.2483,318,-1.5924,-1.7394,-1.4453,2,1.0,1.22,shakespeare
'Y',Y,lexical,8.0962,8.0447,8.1478,70,-2.8253,-3.1126,-2.5381,2,1.0,1.349,shakespeare
'd',d,lexical,7.3462,7.3188,7.3735,2030,-0.1224,-0.201,-0.0439,2,1.0,1.0167,pride_prej
't',t,lexical,6.1028,6.0855,6.12,4569,-0.1423,-0.1904,-0.0942,2,1.0,1.0233,pride_prej
'e',e,lexical,6.5098,6.4925,6.5271,6689,-0.2813,-0.3305,-0.2321,2,1.0,1.0432,pride_prej
'b',b,lexical,6.9052,6.8358,6.9745,820,-0.2822,-0.48,-0.0844,2,1.0,1.0409,pride_prej
'v',v,lexical,5.6652,5.6262,5.7043,580,-0.3358,-0.4943,-0.1772,2,1.0,1.0593,pride_prej
'n',n,lexical,6.0843,6.0553,6.1133,3655,-0.3525,-0.4213,-0.2836,2,1.0,1.0579,pride_prej
'E',E,lexical,5.3034,4.9724,5.6345,98,-0.3612,-1.0329,0.3105,2,0.898,1.0681,pride_prej
'c',c,lexical,5.7781,5.7365,5.8197,1212,-0.3724,-0.4802,-0.2646,2,1.0,1.0644,pride_prej
's',s,lexical,6.826,6.7955,6.8566,3124,-0.4582,-0.5412,-0.3751,2,1.0,1.0671,pride_prej
'z',z,lexical,5.3543,5.2769,5.4316,133,-0.5041,-0.6449,-0.3632,2,1.0,1.0941,pride_prej
'h',h,lexical,6.2647,6.2494,6.2801,3234,-0.5541,-0.6121,-0.4962,2,1.0,1.0885,pride_prej
