CG,log2k,Structural,log2k_x_S,logFreq,char_id
-0.12244799220058855,1.0,0,0.0,-4.986233595730928,d
-0.7670718532113368,1.584962500721156,0,0.0,-4.986233595730928,d
-1.6096131736093318,2.0,0,0.0,-4.986233595730928,d
-2.24347656221562,2.321928094887362,0,0.0,-4.986233595730928,d
-2.721631652152518,2.584962500721156,0,0.0,-4.986233595730928,d
-3.051054037910361,2.807354922057604,0,0.0,-4.986233595730928,d
-3.2697440797622255,3.0,0,0.0,-4.986233595730928,d
-0.14231787052665368,1.0,0,0.0,-3.8986594072158427,t
-0.9008114545346562,1.584962500721156,0,0.0,-3.8986594072158427,t
-1.8065083517359604,2.0,0,0.0,-3.8986594072158427,t
-2.4401347860848084,2.321928094887362,0,0.0,-3.8986594072158427,t
-2.9268674579688074,2.584962500721156,0,0.0,-3.8986594072158427,t
-3.2515711765475874,2.807354922057604,0,0.0,-3.8986594072158427,t
-3.529878260289813,3.0,0,0.0,-3.8986594072158427,t
-0.2812925147269345,1.0,0,0.0,-3.327029110667623,e
-1.0702822418644384,1.584962500721156,0,0.0,-3.327029110667623,e
-1.7250080853783274,2.0,0,0.0,-3.327029110667623,e
-2.38979579254716,2.321928094887362,0,0.0,-3.327029110667623,e
-2.893311147019906,2.584962500721156,0,0.0,-3.327029110667623,e
-3.312530506485185,2.807354922057604,0,0.0,-3.327029110667623,e
-3.579158327112415,3.0,0,0.0,-3.327029110667623,e
-0.2821682964723511,1.0,0,0.0,-6.4283825688866445,b
-0.6797681260161319,1.584962500721156,0,0.0,-6.4283825688866445,b
-1.3258474947761796,2.0,0,0.0,-6.4283825688866445,b
-1.8136445353383825,2.321928094887362,0,0.0,-6.4283825688866445,b
-2.5463916764894394,2.584962500721156,0,0.0,-6.4283825688866445,b
-2.863720358010551,2.807354922057604,0,0.0,-6.4283825688866445,b
-3.0913822144946677,3.0,0,0.0,-6.4283825688866445,b
-0.3357631638601051,1.0,0,0.0,-6.9178405242207255,v
-1.4849224260242382,1.584962500721156,0,0.0,-6.9178405242207255,v
-2.138053542264462,2.0,0,0.0,-6.9178405242207255,v
-2.6716919654576143,2.321928094887362,0,0.0,-6.9178405242207255,v
-3.3230193452062595,2.584962500721156,0,0.0,-6.9178405242207255,v
-3.6624435860634295,2.807354922057604,0,0.0,-6.9178405242207255,v
-3.8409984969814923,3.0,0,0.0,-6.9178405242207255,v
-0.3524667636638945,1.0,0,0.0,-4.183955128039612,n
-1.1927193174448911,1.584962500721156,0,0.0,-4.183955128039612,n
-2.0108585014402127,2.0,0,0.0,-4.183955128039612,n
-2.6294709904481905,2.321928094887362,0,0.0,-4.183955128039612,n
-3.102379782025068,2.584962500721156,0,0.0,-4.183955128039612,n
-3.4222859679843864,2.807354922057604,0,0.0,-4.183955128039612,n
-3.6618042697323787,3.0,0,0.0,-4.183955128039612,n
-0.36120777537839555,1.0,0,0.0,-9.845284931072044,E
-0.8563367424884767,1.584962500721156,0,0.0,-9.845284931072044,E
-1.6472098631035568,2.0,0,0.0,-9.845284931072044,E
-2.0425373324538008,2.321928094887362,0,0.0,-9.845284931072044,E
-2.279831081856786,2.584962500721156,0,0.0,-9.845284931072044,E
-2.386572678708615,2.807354922057604,0,0.0,-9.845284931072044,E
-2.5702406370138737,3.0,0,0.0,-9.845284931072044,E
-0.37238456489275507,1.0,0,0.0,-5.720376206023645,c
-1.3482175587239817,1.584962500721156,0,0.0,-5.720376206023645,c
-2.21570165604214,2.0,0,0.0,-5.720376206023645,c
-2.950047620764124,2.321928094887362,0,0.0,-5.720376206023645,c
-3.3969236697130025,2.584962500721156,0,0.0,-5.720376206023645,c
-3.6725482568236174,2.807354922057604,0,0.0,-5.720376206023645,c
-3.90663462844838,3.0,0,0.0,-5.720376206023645,c
-0.45818158227938977,1.0,0,0.0,-4.397243858110692,s
-1.414879598271499,1.584962500721156,0,0.0,-4.397243858110692,s
-2.170999827954864,2.0,0,0.0,-4.397243858110692,s
-2.7289938307228727,2.321928094887362,0,0.0,-4.397243858110692,s
-3.1860820636556397,2.584962500721156,0,0.0,-4.397243858110692,s
-3.517999815086796,2.807354922057604,0,0.0,-4.397243858110692,s
