corpus,tau,smoother,b3,se3,ci_lo3,ci_hi3,p3,r2,n,G
shakespeare,0.25,laplace,0.6361786730284726,0.23704326547121124,0.16113335344706775,1.1112239926098775,0.00959770796447858,0.3122597111668398,318,56
shakespeare,0.5,laplace,0.5512225331745698,0.2504238803848001,0.04936186207838611,1.0530832042707536,0.031939808859939946,0.39355897743873525,272,56
shakespeare,0.75,laplace,0.3366483743981266,0.24998630423042556,-0.16433537448859098,0.8376321232848443,0.18361077300055467,0.35845034018180955,203,56
pride_prej,0.25,laplace,1.1417531610743394,0.3368685673265824,0.4628391736350195,1.8206671485136594,0.001487950497798707,0.7019318030886792,315,45
pride_prej,0.5,laplace,1.1308607917487028,0.3368500218864023,0.45198418018817554,1.8097374033092302,0.001632242677033652,0.7006593924795429,310,45
pride_prej,0.75,laplace,0.982255790062787,0.3137504907569683,0.34993322452537523,1.6145783556001987,0.0030953435150892126,0.6217917121851193,239,45
python_stdlib,0.25,laplace,0.021053779943702274,0.231076302320421,-0.4390779227219312,0.48118548260933575,0.9276403581314651,0.5236740015156727,518,78
python_stdlib,0.5,laplace,0.039983196080922156,0.26182039510282706,-0.4813678164699057,0.56133420863175,0.8790246251789924,0.542240804057959,440,78
python_stdlib,0.75,laplace,0.002773620719358296,0.3554851681797654,-0.7050877829139787,0.7106350243526952,0.9937948658089267,0.4718053021751807,275,78
shakespeare,0.5,interp_disc,-0.1754096446067918,0.21624020920041606,-0.6087647077922391,0.2579454185786555,0.42075911386260056,0.12699192924437586,272,56
pride_prej,0.5,interp_disc,0.2688794932825364,0.2120405686828249,-0.15846019330744465,0.6962191798725175,0.21144661930379716,0.22838043710534384,310,45
python_stdlib,0.5,interp_disc,-0.48152698903915325,0.22149739736930285,-0.9225846551178651,-0.04046932296044137,0.03278047701116659,0.05572270889041986,440,78
