CG,log2k,Structural,log2k_x_S,logFreq,char_id
2.930462023308399,1.0,1,1.0,-12.289976499850829,:
5.497331141271694,1.584962500721156,1,1.584962500721156,-12.289976499850829,:
6.194440429251351,2.0,1,2.0,-12.289976499850829,:
6.249400241796659,2.321928094887362,1,2.321928094887362,-12.289976499850829,:
6.330320776460794,2.584962500721156,1,2.584962500721156,-12.289976499850829,:
6.412584613016804,2.807354922057604,1,2.807354922057604,-12.289976499850829,:
6.484796724574391,3.0,1,3.0,-12.289976499850829,:
2.195089691350889,1.0,0,0.0,-10.982599469136517,z
5.068976997923431,1.584962500721156,0,0.0,-10.982599469136517,z
6.243550427850999,2.0,0,0.0,-10.982599469136517,z
6.221434226583242,2.321928094887362,0,0.0,-10.982599469136517,z
5.77300845611834,2.584962500721156,0,0.0,-10.982599469136517,z
5.38007894838122,2.807354922057604,0,0.0,-10.982599469136517,z
4.889173451447791,3.0,0,0.0,-10.982599469136517,z
3.8924173695166555,1.0,0,0.0,-11.075763802997093,Q
4.754624373222833,1.584962500721156,0,0.0,-11.075763802997093,Q
6.011200106543864,2.0,0,0.0,-11.075763802997093,Q
6.15350218092782,2.321928094887362,0,0.0,-11.075763802997093,Q
5.969766266923518,2.584962500721156,0,0.0,-11.075763802997093,Q
5.105014428487507,2.807354922057604,0,0.0,-11.075763802997093,Q
3.792331363133088,3.0,0,0.0,-11.075763802997093,Q
5.2147678975747755,1.0,1,1.0,-9.984248263648421,;
5.850905611106362,1.584962500721156,1,1.584962500721156,-9.984248263648421,;
5.848510685278642,2.0,1,2.0,-9.984248263648421,;
5.341695113223187,2.321928094887362,1,2.321928094887362,-9.984248263648421,;
4.472513041218376,2.584962500721156,1,2.584962500721156,-9.984248263648421,;
3.7336289393026445,2.807354922057604,1,2.807354922057604,-9.984248263648421,;
3.1828804684703274,3.0,1,3.0,-9.984248263648421,;
2.664733746625097,1.0,0,0.0,-12.649345761978692,Z
4.29508321470095,1.584962500721156,0,0.0,-12.649345761978692,Z
4.71586970528436,2.0,0,0.0,-12.649345761978692,Z
4.702932618181189,2.321928094887362,0,0.0,-12.649345761978692,Z
4.650052318659346,2.584962500721156,0,0.0,-12.649345761978692,Z
4.626276817838984,2.807354922057604,0,0.0,-12.649345761978692,Z
4.5075660492584495,3.0,0,0.0,-12.649345761978692,Z
2.1852229087419213,1.0,0,0.0,-7.952885755781415,k
4.427252108715665,1.584962500721156,0,0.0,-7.952885755781415,k
4.7128175050687116,2.0,0,0.0,-7.952885755781415,k
4.263442203961998,2.321928094887362,0,0.0,-7.952885755781415,k
3.6363227228341346,2.584962500721156,0,0.0,-7.952885755781415,k
3.092289719709438,2.807354922057604,0,0.0,-7.952885755781415,k
2.6749856003661114,3.0,0,0.0,-7.952885755781415,k
1.6070752649384303,1.0,1,1.0,-11.547109471941123,)
3.1025077156803285,1.584962500721156,1,1.584962500721156,-11.547109471941123,)
4.030116767630762,2.0,1,2.0,-11.547109471941123,)
4.376616472116159,2.321928094887362,1,2.321928094887362,-11.547109471941123,)
4.444110404917757,2.584962500721156,1,2.584962500721156,-11.547109471941123,)
4.492332871548434,2.807354922057604,1,2.807354922057604,-11.547109471941123,)
4.494529700561001,3.0,1,3.0,-11.547109471941123,)
2.7465773641545237,1.0,0,0.0,-10.86326130670951,j
3.900380985034512,1.584962500721156,0,0.0,-10.86326130670951,j
4.138046849741531,2.0,0,0.0,-10.86326130670951,j
4.244209842746748,2.321928094887362,0,0.0,-10.86326130670951,j
4.186577822490429,2.584962500721156,0,0.0,-10.86326130670951,j
4.107856870285937,2.807354922057604,0,0.0,-10.86326130670951,j
3.904493212254681,3.0,0,0.0,-10.86326130670951,j
3.5535911155634996,1.0,0,0.0,-8.923277401985592,x
4.053431332060427,1.584962500721156,0,0.0,-8.923277401985592,x
3.8503053275150134,2.0,0,0.0,-8.923277401985592,x
3.470215605374425,2.321928094887362,0,0.0,-8.923277401985592,x
2.8669504295182913,2.584962500721156,0,0.0,-8.923277401985592,x
2.298226374616908,2.807354922057604,0,0.0,-8.923277401985592,x
1.8234683920226713,3.0,0,0.0,-8.923277401985592,x
1.8211874362891347,1.0,0,0.0,-9.901889215706136,q
3.0464137944758187,1.584962500721156,0,0.0,-9.901889215706136,q
3.696244869957674,2.0,0,0.0,-9.901889215706136,q
3.801791433969308,2.321928094887362,0,0.0,-9.901889215706136,q
3.7177743445428746,2.584962500721156,0,0.0,-9.901889215706136,q
3.6257467456080255,2.807354922057604,0,0.0,-9.901889215706136,q
3.4565028219295257,3.0,0,0.0,-9.901889215706136,q
1.413657577223729,1.0,1,1.0,-9.62663590405968,'
2.6834793993475063,1.584962500721156,1,1.584962500721156,-9.62663590405968,'
3.4445623552787703,2.0,1,2.0,-9.62663590405968,'
3.6243642822845015,2.321928094887362,1,2.321928094887362,-9.62663590405968,'
3.690575851578348,2.584962500721156,1,2.584962500721156,-9.62663590405968,'
3.6777511060986496,2.807354922057604,1,2.807354922057604,-9.62663590405968,'
3.5605574875548864,3.0,1,3.0,-9.62663590405968,'
1.4614504046927799,1.0,0,0.0,-6.719294737796498,y
2.806157832361386,1.584962500721156,0,0.0,-6.719294737796498,y
3.398654141559153,2.0,0,0.0,-6.719294737796498,y
3.391429838489652,2.321928094887362,0,0.0,-6.719294737796498,y
3.1355309810191474,2.584962500721156,0,0.0,-6.719294737796498,y
2.7110635104627145,2.807354922057604,0,0.0,-6.719294737796498,y
2.298946902283538,3.0,0,0.0,-6.719294737796498,y
0.44027416222650473,1.0,1,1.0,-11.552603134330612,(
1.174494050961755,1.584962500721156,1,1.584962500721156,-11.552603134330612,(
2.0290298208804964,2.0,1,2.0,-11.552603134330612,(
2.611312269836099,2.321928094887362,1,2.321928094887362,-11.552603134330612,(
3.0471016369467385,2.584962500721156,1,2.584962500721156,-11.552603134330612,(
3.170221987338291,2.807354922057604,1,2.807354922057604,-11.552603134330612,(
3.2607957334646205,3.0,1,3.0,-11.552603134330612,(
1.4419403034948832,1.0,0,0.0,-7.033888697833371,v
2.7324541747161764,1.584962500721156,0,0.0,-7.033888697833371,v
3.102381205540441,2.0,0,0.0,-7.033888697833371,v
3.0689141494150904,2.321928094887362,0,0.0,-7.033888697833371,v
2.8508924561766755,2.584962500721156,0,0.0,-7.033888697833371,v
2.416208042637988,2.807354922057604,0,0.0,-7.033888697833371,v
1.9538594704433452,3.0,0,0.0,-7.033888697833371,v
1.8723918807404738,1.0,0,0.0,-9.919723477821357,Y
2.856756153630738,1.584962500721156,0,0.0,-9.919723477821357,Y
3.022289628829519,2.0,0,0.0,-9.919723477821357,Y
2.8574462012138833,2.321928094887362,0,0.0,-9.919723477821357,Y
2.64626646307402,2.584962500721156,0,0.0,-9.919723477821357,Y
2.40658174257622,2.807354922057604,0,0.0,-9.919723477821357,Y
2.29989258259734,3.0,0,0.0,-9.919723477821357,Y
1.7948082905076488,1.0,0,0.0,-10.18836918372,K
2.7020677121076755,1.584962500721156,0,0.0,-10.18836918372,K
3.0096869606472483,2.0,0,0.0,-10.18836918372,K
2.897840685529964,2.321928094887362,0,0.0,-10.18836918372,K
2.6115225746856163,2.584962500721156,0,0.0,-10.18836918372,K
2.50669110429103,2.807354922057604,0,0.0,-10.18836918372,K
2.4011179525270236,3.0,0,0.0,-10.18836918372,K
1.6659931268266979,1.0,0,0.0,-12.063075880070748,X
2.762590267089415,1.584962500721156,0,0.0,-12.063075880070748,X
2.309221627597844,2.0,0,0.0,-12.063075880070748,X
