CG,log2k,Structural,log2k_x_S,logFreq,char_id
3.5385979967021814,1.0,0,0.0,-12.436276688435198,Z
5.521320005270344,1.584962500721156,0,0.0,-12.436276688435198,Z
2.0497221467992865,1.0,0,0.0,-11.528788827224735,z
4.299299231533912,1.584962500721156,0,0.0,-11.528788827224735,z
4.491321988856775,2.0,0,0.0,-11.528788827224735,z
4.186955346144129,2.321928094887362,0,0.0,-11.528788827224735,z
2.665199323188836,1.0,0,0.0,-11.025726580148667,x
3.861209088100522,1.584962500721156,0,0.0,-11.025726580148667,x
3.833962692802789,2.0,0,0.0,-11.025726580148667,x
3.6091315688701266,2.321928094887362,0,0.0,-11.025726580148667,x
0.7679256112651505,1.0,0,0.0,-10.770014085612193,q
1.930354090120665,1.584962500721156,0,0.0,-10.770014085612193,q
1.9673002904518873,2.0,0,0.0,-10.770014085612193,q
2.171569466456674,2.321928094887362,0,0.0,-10.770014085612193,q
2.5818593244552828,2.584962500721156,0,0.0,-10.770014085612193,q
2.879878209138992,2.807354922057604,0,0.0,-10.770014085612193,q
1.1415371782767085,1.0,0,0.0,-10.74482575352136,j
1.664586569021191,1.584962500721156,0,0.0,-10.74482575352136,j
1.8737536589600108,2.0,0,0.0,-10.74482575352136,j
2.1640183112666254,2.321928094887362,0,0.0,-10.74482575352136,j
2.328891044915606,2.584962500721156,0,0.0,-10.74482575352136,j
2.794464518865757,2.807354922057604,0,0.0,-10.74482575352136,j
1.453699550364271,1.0,0,0.0,-7.162177118638451,v
2.5355942738448207,1.584962500721156,0,0.0,-7.162177118638451,v
2.3104758659741744,2.0,0,0.0,-7.162177118638451,v
1.601080780819104,2.321928094887362,0,0.0,-7.162177118638451,v
1.0432268927534913,2.584962500721156,0,0.0,-7.162177118638451,v
0.6390356038642011,2.807354922057604,0,0.0,-7.162177118638451,v
0.09566839065890242,1.0,0,0.0,-10.666531227544615,V
0.798964918072878,1.584962500721156,0,0.0,-10.666531227544615,V
1.3910668753780762,2.0,0,0.0,-10.666531227544615,V
2.0113654074882463,2.321928094887362,0,0.0,-10.666531227544615,V
2.3142233894996185,2.584962500721156,0,0.0,-10.666531227544615,V
2.5075202397281586,2.807354922057604,0,0.0,-10.666531227544615,V
0.9821334791938545,1.0,1,1.0,-9.003981199735415,!
1.8500576067346994,1.584962500721156,1,1.584962500721156,-9.003981199735415,!
2.353692291547138,2.0,1,2.0,-9.003981199735415,!
2.458495745097144,2.321928094887362,1,2.321928094887362,-9.003981199735415,!
2.481248499208812,2.584962500721156,1,2.584962500721156,-9.003981199735415,!
2.440496645174812,2.807354922057604,1,2.807354922057604,-9.003981199735415,!
1.6541353900213274,1.0,0,0.0,-7.294248932770205,k
2.3624471698913614,1.584962500721156,0,0.0,-7.294248932770205,k
2.3591176908358595,2.0,0,0.0,-7.294248932770205,k
1.7214006395717965,2.321928094887362,0,0.0,-7.294248932770205,k
1.0733491216507005,2.584962500721156,0,0.0,-7.294248932770205,k
0.7318891891629855,2.807354922057604,0,0.0,-7.294248932770205,k
0.8123473560128316,1.0,1,1.0,-8.873892035689252,?
1.5498702962175717,1.584962500721156,1,1.584962500721156,-8.873892035689252,?
1.9996098082947888,2.0,1,2.0,-8.873892035689252,?
2.134800739137276,2.321928094887362,1,2.321928094887362,-8.873892035689252,?
2.183073132080561,2.584962500721156,1,2.584962500721156,-8.873892035689252,?
2.182326342645812,2.807354922057604,1,2.807354922057604,-8.873892035689252,?
0.7207195354429139,1.0,0,0.0,-9.521640860294132,K
1.0626532513219598,1.584962500721156,0,0.0,-9.521640860294132,K
