CG,log2k,Structural,log2k_x_S,logFreq,char_id
2.8413445398184782,1.0,0,0.0,-9.581852485494826,z
4.37218575505516,1.584962500721156,0,0.0,-9.581852485494826,z
3.771654925172241,2.0,0,0.0,-9.581852485494826,z
2.139593343700128,2.321928094887362,0,0.0,-9.581852485494826,z
1.2449147552614024,2.584962500721156,0,0.0,-9.581852485494826,z
0.8588354386184758,2.807354922057604,0,0.0,-9.581852485494826,z
0.21896760882577926,3.0,0,0.0,-9.581852485494826,z
1.4779322285471057,1.0,0,0.0,-9.884017325560759,C
3.5918552777780923,1.584962500721156,0,0.0,-9.884017325560759,C
3.860202272580573,2.0,0,0.0,-9.884017325560759,C
4.13420098621652,2.321928094887362,0,0.0,-9.884017325560759,C
3.5132041861508165,2.584962500721156,0,0.0,-9.884017325560759,C
2.237740026059728,2.807354922057604,0,0.0,-9.884017325560759,C
1.8728018539109694,3.0,0,0.0,-9.884017325560759,C
3.9116040362378093,1.0,0,0.0,-9.67642190615239,x
3.3847869793528877,1.584962500721156,0,0.0,-9.67642190615239,x
2.593202239984656,2.0,0,0.0,-9.67642190615239,x
2.1592976690306074,2.321928094887362,0,0.0,-9.67642190615239,x
1.5702563267905507,2.584962500721156,0,0.0,-9.67642190615239,x
1.0722660887241942,2.807354922057604,0,0.0,-9.67642190615239,x
1.1430635187060023,1.0,1,1.0,-10.845284931072044,!
2.5577853370517385,1.584962500721156,1,1.584962500721156,-10.845284931072044,!
3.1349518056062182,2.0,1,2.0,-10.845284931072044,!
3.3334578505779513,2.321928094887362,1,2.321928094887362,-10.845284931072044,!
3.554139752285634,2.584962500721156,1,2.584962500721156,-10.845284931072044,!
3.5675219893083456,2.807354922057604,1,2.807354922057604,-10.845284931072044,!
3.5036833583288356,3.0,1,3.0,-10.845284931072044,!
2.141232357538205,1.0,0,0.0,-7.815732585994283,k
3.4750312607044496,1.584962500721156,0,0.0,-7.815732585994283,k
3.202457879538708,2.0,0,0.0,-7.815732585994283,k
2.5161837425325775,2.321928094887362,0,0.0,-7.815732585994283,k
1.8550643506510625,2.584962500721156,0,0.0,-7.815732585994283,k
1.3805195253123008,2.807354922057604,0,0.0,-7.815732585994283,k
1.1419572724430047,3.0,0,0.0,-7.815732585994283,k
1.1681241071628339,1.0,1,1.0,-10.678548207260778,?
2.095091489711254,1.584962500721156,1,1.584962500721156,-10.678548207260778,?
2.574026062467179,2.0,1,2.0,-10.678548207260778,?
2.9438613378549805,2.321928094887362,1,2.321928094887362,-10.678548207260778,?
2.997605222739816,2.584962500721156,1,2.584962500721156,-10.678548207260778,?
3.0872549951981103,2.807354922057604,1,2.807354922057604,-10.678548207260778,?
3.125741882925837,3.0,1,3.0,-10.678548207260778,?
2.008821302771066,1.0,0,0.0,-10.286028144543362,D
2.7274566544059278,1.584962500721156,0,0.0,-10.286028144543362,D
3.0618765583430783,2.0,0,0.0,-10.286028144543362,D
2.9946374366635604,2.321928094887362,0,0.0,-10.286028144543362,D
2.354493427369813,2.584962500721156,0,0.0,-10.286028144543362,D
1.950345598447245,2.807354922057604,0,0.0,-10.286028144543362,D
1.8761107873508855,3.0,0,0.0,-10.286028144543362,D
2.7168670682977343,1.0,0,0.0,-11.194946421498864,Y
2.4931755141669703,1.584962500721156,0,0.0,-11.194946421498864,Y
2.2574809646702416,2.0,0,0.0,-11.194946421498864,Y
2.009130560493979,2.321928094887362,0,0.0,-11.194946421498864,Y
1.4821128140753963,2.584962500721156,0,0.0,-11.194946421498864,Y
1.211283028656525,2.807354922057604,0,0.0,-11.194946421498864,Y
